"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.919744000E0,5.288502502E-1,5.366340637E-1,9.863588562E0
3.929716000E0,5.417234802E-1,5.373825073E-1,9.941426697E0
3.939687000E0,5.457650757E-1,5.378315735E-1,9.915081482E0
3.949659000E0,5.523513794E-1,5.186714172E-1,9.851164398E0
3.959631000E0,5.547463989E-1,4.846920776E-1,9.802964630E0
3.969602000E0,5.451663208E-1,4.709207153E-1,9.829908600E0
3.979574000E0,5.349874878E-1,4.761598206E-1,9.876162415E0
3.989546000E0,5.318440247E-1,4.806504822E-1,9.877659302E0
3.999518000E0,5.333409119E-1,4.881349182E-1,9.875264282E0
4.009489000E0,5.228627014E-1,4.809498596E-1,9.849218445E0
4.019461000E0,5.246589661E-1,4.679269409E-1,9.848320312E0
4.029433000E0,5.146298218E-1,4.647834778E-1,9.848619690E0
